location,gender,city,text,klout,latitude,longitude,date,followers,image,sreen_name,sentiment,TuesdayTemp,WednesdayTemp,ThursdayTemp,FridayTemp
"Robstown, TX",male,Robstown,Stripes*,35,27.8072964,-97.6772541,"Wed, 03 Apr 2013 12:53:01 +0000",257,http://a0.twimg.com/profile_images/2997076901/46bb61fa1942ff13037756aaa08d7e0e_normal.jpeg,SuperNeeegro,0,74.7,72,62.2,63.7
"Gilmer, NC",,Gilmer,Glad God Gave Me Another Chance At Life.,41,36.07357788,-79.77625819,"Wed, 03 Apr 2013 12:53:04 +0000",1549,http://a0.twimg.com/profile_images/3448697181/8de5b56a125cae31e81c5a9d01712d49_normal.jpeg,mixedmami_xoxo,5,49.6,48.5,42.5,35.5
"Tennessee, US",female,Tennessee,Jason Aldean on the way to work _Ÿ˜˜_Ÿ’‹_Ÿ_§\n#lovehim #sexman,36,36.11320589,-87.36977605,"Wed, 03 Apr 2013 12:53:04 +0000",89,http://a0.twimg.com/profile_images/3375234048/069a323f3dd0cd9da5307a319c11fee3_normal.jpeg,rose__hannah,0,42.1,42.9,42.7,44.3
"Hitchcock, TX",,Hitchcock,This shit got me wanting to go bacc to my house !,47,29.34213015,-94.98836219,"Wed, 03 Apr 2013 12:53:04 +0000",501,http://a0.twimg.com/profile_images/3464216857/5310456c9896fbab86646cdd75cda9ad_normal.jpeg,Certified_CB300,-9,67.9,64.2,54.8,54
"Cheverly, MD",,Cheverly,Ima miss my baby .,32,38.92952538,-76.91617966,"Wed, 03 Apr 2013 12:53:04 +0000",421,http://a0.twimg.com/profile_images/3393276878/e8aa2869cb7fae09fa220294027d69b1_normal.jpeg,_milannnn,0,43.9,42.6,40.6,38.9
"Malibu, CA",mostly_female,Malibu,I NEED SOME WATER http://t.co/m7exTcryJU,56,34.00714,-118.76091,"Wed, 03 Apr 2013 12:53:04 +0000",2364,http://a0.twimg.com/profile_images/3465658060/9a171b3dd0a67415b5f60450d7671360_normal.jpeg,prankingjustin,0,56.9,57.5,56.2,60.1
"Charlotte, NC",,Charlotte,I aint had it in a minute,41,35.2550537,-80.8409111,"Wed, 03 Apr 2013 12:53:05 +0000",217,http://a0.twimg.com/profile_images/3403088068/f4c32a7a93827c5bca1dcfd8c876cdea_normal.jpeg,_FollowNick,0,55.2,53.4,46.5,37.4
"Austin, TX",male,Austin,What the poop am I supposed to do with my hair man?,38,30.20104281,-97.84398766,"Wed, 03 Apr 2013 12:53:05 +0000",420,http://a0.twimg.com/profile_images/3457253525/8cb38ec2014eb626433c86f04bd890b4_normal.jpeg,allycaaaat_,0,69.5,56.1,51.5,48.7
"Philadelphia, PA",male,Philadelphia,Today Is really gonna suck .gotta go to a whole new courtroom,47,39.95263607,-75.16181604,"Wed, 03 Apr 2013 12:53:05 +0000",487,http://a0.twimg.com/profile_images/2666024119/a935d90c5b0a47dfb6b4f5149671f40a_normal.jpeg,Johnnie_sosa,-5,42,39.9,40.8,41.8
"Delaware, US",,Delaware,Nigga is u goin cook lol...,43,39.6678591,-75.6397791,"Wed, 03 Apr 2013 12:53:06 +0000",282,http://a0.twimg.com/profile_images/3419539091/88106a56c126a5c8feb91b82924725bd_normal.jpeg,gerbblockstar,0,39.8,39.8,37.8,41
"Philadelphia, PA",female,Philadelphia,a guy is sitting next to me rapping along to his music can you please shut the fuck up you're in the library and being a rude asshole,40,39.98116989,-75.15407281,"Wed, 03 Apr 2013 12:53:06 +0000",249,http://a0.twimg.com/profile_images/3469729561/89735722fa20d1dda3f066287a71a263_normal.jpeg,_Lexxtasy,-6,42,39.9,40.8,41.8
"Brandywine, DE",,Brandywine,t r i l l  c o i n,49,39.82081553,-75.52175238,"Wed, 03 Apr 2013 12:53:06 +0000",405,http://a0.twimg.com/profile_images/3457981691/0967c5dc53ed4dd2dd645459b0aea7c0_normal.jpeg,colinope,0,41,40.3,39.2,41
"Independence, LA",,Independence,Moments like when you have the chance to go places &amp; i cant.. I work,,30.63427856,-90.49434032,"Wed, 03 Apr 2013 12:53:06 +0000",188,http://a0.twimg.com/profile_images/3268031957/8e537104a10d9cec13def037a40359f3_normal.jpeg,AnnahNoHomo,0,62.3,62.9,54.2,50.2
"Brooklyn, OH",male,Brooklyn,getting neck in English &gt;,38,41.43104508,-81.74922935,"Wed, 03 Apr 2013 12:53:06 +0000",683,http://a0.twimg.com/profile_images/3412131381/5c02eac28103282a5b0dec18a4cc7b40_normal.jpeg,Dclark23_,0,32.5,33,35.4,38.8
"Indiana, US",female,Indiana,Watched dexter piss directly all over his front paw this morning. #badaim,40,41.67872476,-85.03354761,"Wed, 03 Apr 2013 12:53:06 +0000",387,http://a0.twimg.com/profile_images/3393465576/d79434a83664cd3d356bbbe24b1130d6_normal.jpeg,alligaff,0,29.4,30.8,38.1,39.9
"Franklin, VA",,Franklin,Lemme clean up and do this stuff for her,40,36.6890123,-76.93679611,"Wed, 03 Apr 2013 12:53:06 +0000",321,http://a0.twimg.com/profile_images/3124622102/2054471b8fb0661c7d17dc72f890b954_normal.jpeg,Beautiful__Muah,4,52.1,46.5,44.4,42
"Fullerton, PA",mostly_female,Fullerton,RPM! (@ Gold's Gym) http://t.co/YVWovtOznH,54,40.63579214,-75.48158884,"Wed, 03 Apr 2013 12:53:06 +0000",4759,http://a0.twimg.com/profile_images/1864911745/Medium_me_normal.jpg,KarenDeLabar,,35.6,36,38.2,42.1
"Nutley, NJ",male,Nutley,"@jonnajacinto magpa box ka, lagyan mo ng FRAGILE: this side up â¬† Handle with care tapos magpa-bubble wrap ka ;) solb.",43,40.8217545,-74.1569335,"Wed, 03 Apr 2013 12:53:07 +0000",395,http://a0.twimg.com/profile_images/3373330572/18566fe56c6cfe355686ccf39009fbb0_normal.jpeg,JazJacinto,3,37.5,38.1,39.6,43.1
