STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,LAT,LNG,LATFORMAT,LNGFORMAT,STATE
690150,93121,20130402,64.6,24,33.5,24,1015.3,21,936.8,24,10,24,11.2,24,22,31.1,   79.0*,  55.0*, 0.00I,999.9,0,34300,-116167,34.3,-116.167,CA
690150,93121,20130403,68.9,24,30.8,24,1016.4,24,937.9,24,10,24,5.7,24,15.9,22,   82.9*,  55.9*, 0.00I,999.9,0,34300,-116167,34.3,-116.167,CA
690150,93121,20130404,72,24,29.7,24,1015.1,24,936.9,24,10,24,4.7,24,20,26,   86.0*,  57.9*, 0.00I,999.9,0,34300,-116167,34.3,-116.167,CA
690150,93121,20130405,70.8,24,35,24,1013.3,23,935.3,24,9.7,24,13.6,24,28.9,39,   82.0*,  62.1*, 0.00A,999.9,0,34300,-116167,34.3,-116.167,CA
690190,13910,20130402,54.7,24,48.2,24,1012.8,18,951.2,24,7,24,11.4,24,17.1,22,   79.7*,  41.7*, 0.11D,999.9,10000,32433,-99850,32.433,-99.85,TX
690190,13910,20130403,40.7,24,39.7,24,1019.5,15,954.7,24,5.3,24,12.6,24,15.9,999.9,   42.8*,  38.8*, 0.12D,999.9,10010,32433,-99850,32.433,-99.85,TX
690190,13910,20130404,44.4,24,38.2,24,1021.6,13,957.7,24,9.5,24,9.2,24,15,15.9,   59.7*,  38.3*, 0.00H,999.9,10000,32433,-99850,32.433,-99.85,TX
690190,13910,20130405,53.2,24,39.3,24,1020.3,23,956.6,24,10,24,6.9,24,15,24.1,   75.9*,  35.1*, 0.00I,999.9,0,32433,-99850,32.433,-99.85,TX
690524,99999,20130402,64.8,24,50.2,24,1019.5,24,9999.9,0,11.8,24,2.4,24,5.1,11.1,77.2,53.1, 0.00I,999.9,0,30417,-86667,30.417,-86.667,FL
690524,99999,20130403,60.8,24,57.2,24,1017.5,21,9999.9,0,10,24,2.3,24,6,14,75,54.9, 0.46A,999.9,10010,30417,-86667,30.417,-86.667,FL
690524,99999,20130404,64.3,24,60.3,24,1014.4,15,9999.9,0,11.5,24,2.4,24,6,11.1,72.9,54.7, 0.41A,999.9,0,30417,-86667,30.417,-86.667,FL
690524,99999,20130405,59,24,52.1,24,1016.2,16,9999.9,0,11.8,24,4.5,24,9.9,18.1,   64.4*,  53.6*,99.99,999.9,10000,30417,-86667,30.417,-86.667,FL
693254,99999,20130402,64.2,24,51.6,24,1019.5,24,9999.9,0,12,24,3.9,24,8,12,   73.4*,  53.6*, 0.00I,999.9,0,-99999,-999999,-99.999,-999.999,FL
693254,99999,20130403,61.8,24,57.9,24,1017.5,20,9999.9,0,10.1,24,3.8,24,11.1,34,   69.8*,  55.4*, 0.48A,999.9,10010,-99999,-999999,-99.999,-999.999,FL
693254,99999,20130404,62.5,16,60.2,16,1014.7,12,9999.9,0,11.9,16,3.8,16,7,12,   66.2*,  60.8*, 0.42A,999.9,0,-99999,-999999,-99.999,-999.999,FL
699604,3145,20130402,71.7,24,39,24,1012.8,24,1005.3,24,10,24,8.4,24,14,21,   87.1*,  60.1*, 0.00G,999.9,0,32650,-114617,32.65,-114.617,AZ
699604,3145,20130403,74.9,24,34.9,24,1013.4,24,1005.8,24,10,24,3.7,24,9.9,999.9,   93.0*,  59.0*, 0.00G,999.9,0,32650,-114617,32.65,-114.617,AZ
