station,WBAN ,date,temp,dewpoint, visibility,windspeed,precipitation,snow_depth,indicator
690150,93121,20130401,63.6,30.3,10,14.2, 0.00I,999.9,0
690150,93121,20130402,64.6,33.5,10,11.2, 0.00I,999.9,0
690150,93121,20130403,68.7,29.8,10,9, 0.00I,999.9,0
690190,13910,20130401,67.7,49,10,9.6, 0.38A,999.9,0
690190,13910,20130402,54.7,48.2,7,11.4, 0.11D,999.9,10000
690190,13910,20130403,41.3,40.9,4.2,12.7, 0.10A,999.9,10010
690524,99999,20130401,69.6,58.9,11.3,3.8, 0.00I,999.9,0
690524,99999,20130402,64.8,50.2,11.8,2.4, 0.00I,999.9,0
693254,99999,20130401,70.2,60.3,12,4.9, 0.00I,999.9,0
693254,99999,20130402,64.2,51.6,12,3.9, 0.00I,999.9,0
699604,3145,20130401,71.4,35.1,10,9.5, 0.00G,999.9,0
699604,3145,20130402,71.7,39,10,8.4, 0.00G,999.9,0
699604,3145,20130403,72.5,39.2,10,4.8, 0.00G,999.9,0
700001,26492,20130401,30.8,27.4,9.6,4.5, 0.18G,999.9,0
700001,26492,20130402,26.1,20,10,2.8, 0.00G,999.9,0
700001,26492,20130403,36.8,28.1,10,5.9, 0.00I,999.9,0
700197,26558,20130401,3.6,0.3,7.9,3.4, 0.00I,999.9,0
700197,26558,20130402,5.4,1.9,10,2.8, 0.00I,999.9,0
700197,26558,20130403,19,10.8,10,9.8, 0.00I,999.9,0
700260,27502,20130401,-6.2,-11.7,8.5,9.6, 0.00G,7.1,1000
700260,27502,20130402,-5,-10.9,4.3,14, 0.00G,7.1,1000
700260,27502,20130403,-6.6,-12.6,10,11.3, 0.00I,999.9,0
700300,27503,20130401,-7.8,-13.8,7.1,10.6, 0.00G,999.9,1000
700300,27503,20130402,-2.3,-8.6,4.7,15.8, 0.00G,999.9,1000
700300,27503,20130403,-6.8,-13.5,7.6,13.9, 0.00I,999.9,0
700631,25715,20130401,35.1,25.6,8.5,14.3, 0.00I,999.9,0
700631,25715,20130402,36.9,29.8,7.1,22.5, 0.00I,999.9,0
700631,25715,20130403,39,34.8,7.2,16.6, 0.00I,999.9,0
700632,26645,20130401,2.4,-1.5,5.1,1.6, 0.00I,999.9,0
700632,26645,20130402,2.8,-1.2,10,1.9, 0.00I,999.9,0
700632,26645,20130403,13.6,7.8,9.7,1.4, 0.00I,999.9,0
700634,27408,20130401,-1,-4.5,8.2,12.5,99.99,999.9,1000
700634,27408,20130402,-8.6,-12.7,2.8,15, 0.00I,999.9,0
700637,27406,20130401,-2.2,-6.9,8.9,11.3, 0.00G,999.9,1000
700637,27406,20130402,-4.9,-10.1,3.5,17, 0.00G,999.9,1000
700637,27406,20130403,-7.2,-13.1,10,12.7, 0.00I,999.9,0
700638,99999,20130401,36.1,32.7,9.2,12.1, 0.11G,999.9,11000
700638,99999,20130402,35.8,30.1,10,7, 0.37G,999.9,10000
700860,27401,20130401,2,-0.9,8,10, 0.00H,999.9,1000
700860,27401,20130402,-5.6,-9.9,9.3,10.9, 0.00H,999.9,1000
700860,27401,20130403,-6.1,-11.4,10,5.7, 0.00I,999.9,0
701040,26631,20130401,-3.3,-6.3,10,999.9, 0.00I,999.9,0
701040,26631,20130402,-1.7,-4.5,10,3.6, 0.00I,999.9,0
701043,26623,20130401,-2.2,-8.6,999.9,4.7, 0.00I,999.9,0
701170,26634,20130401,5.9,4,10,7.1,99.99,999.9,1000
701170,26634,20130402,7.5,4.1,10,7.2,99.99,999.9,1000
701170,26634,20130403,8.1,6.3,10,19.5,99.99,999.9,1000
701195,26625,20130401,-1.8,-14.9,7.2,5.5, 0.00I,999.9,0
701195,26625,20130402,-3.6,-17.2,10,4.2, 0.00I,999.9,0
701195,26625,20130403,4.6,-7.2,10,3.6, 0.00I,999.9,0
701196,99999,20130401,13,5.9,9.6,2.2, 0.00H,999.9,1000
701196,99999,20130402,17.5,9,10,2.9, 0.00I,999.9,0
701210,26624,20130401,-5.9,-11.6,9,12.8, 0.00B,999.9,0
701210,26624,20130402,-4.8,-9.5,1.3,26.5, 0.00H,999.9,1000
